Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,class,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
AALI.jk,1.55E+13,2.33E+12,3.54E+12,2.21E+12,6.86E+11,-2.14E+11,4.85E+11,1.44E+12,1.44E+12,1.52E+12,2.33E+12,83624000000,1.13E+12,1.68E+13,-1.19E+11,1.91E+13,1.09E+12,3.88E+12,49082000000,9.62E+11,8.39E+11,1.4E+11,55951000000,1.4E+11,2.68E+12,3.61E+12,1.73E+11,4.85E+11,6.63E+11,1.89E+13,3.99E+12,1.11E+12,6.12E+11,7E+11,-33444000000,1.81E+13,1.42E+13,1.18318E+12,1.4E+11,2.69E+13,4.5E+12,3.08E+12,7.38E+12,1.9E+13,-33444000000,FALSE,11574.69629,10759.93066,-0.070391966,0,consumer_noncylicals,747.4,12409.03846,16.60294148,0.075789474,0.097816961,0.185340314,0.07539267,-10.88785047,1.461038961,0.27665,3.22391249,0.710037175,0.053531599
ACES.jk,3.99E+12,1.2E+12,3.25E+12,1.21E+12,2.31E+11,-714503007,10052978822,9.65E+11,9.65E+11,9.76E+11,1.2E+12,-1.31E+11,2.18E+12,6.04E+12,4048186539,7.24E+12,1.98E+11,4.04E+11,7.99E+11,1.72E+11,1.13E+11,1.4E+11,1.4E+11,8001850383,3E+12,1.4E+11,1.4E+11,10052978822,36642626059,4.22E+12,6.56E+11,54982451169,1.63E+11,4.55E+11,239797199,5.61E+11,3.67E+12,1.4E+11,6224968013,5.32E+12,4.1E+12,6.31E+11,1.09E+12,4.23E+12,-19226545201,TRUE,1050.829834,1381.124756,0.314318181,1,consumer_cylicals,56.49,1346.615385,23.83811976,0.228132388,0.255918106,0.448895028,0.133287293,-1679.489083,6.497622821,1.334180022,0.066193853,1.360902256,0.181390977
ADRO.jk,2417015000,1012909000,1202736000,820998000,343457000,-65084000,652293000,417720000,417720000,477541000,1012909000,-4171000,193998000,2606842000,-191911000,3619751000,341766000,1154494000,927896000,342940000,27336000,1.4E+11,793610000,1.4E+11,112005000,1085959000,591785000,652293000,385734000,2856789000,168642000,85512000,181903000,730372000,-8312000,3906424000,2161277000,182671000,89147000,7060755000,1600294000,816443000,2758063000,3650399000,-8312000,FALSE,1208.464233,841.6401367,-0.303545679,-1,energy,0.01,1881.576923,188157.6923,0.114431327,0.162213067,0.332270369,0.115400203,-15.56310307,1.960080496,1.718156687,0.347531873,0.512657782,0.059160812
AKRA.jk,2.2E+13,9.69E+11,1.55E+12,9.15E+11,2.51E+11,-86484498000,1.56E+12,1.64E+12,1.64E+12,6.63E+11,9.69E+11,-53150773000,6.34E+11,2.26E+13,-54042261000,2.35E+13,5E+12,1.29E+12,2.17E+12,4.01E+11,2.53E+11,1.4E+11,4.16331E+11,1.4E+11,4.11E+12,1.8E+12,4.18E+11,1.56E+12,4.65E+12,8.37E+12,3.33E+12,2.86E+11,2.98E+11,1.48E+11,2.72E+11,4.92E+12,6.41E+12,1.11E+12,6.62216E+11,1.99E+13,1.13E+13,8.06E+12,1E+13,8.37E+12,2.72E+11,FALSE,1032.81604,731.6519165,-0.291595126,-1,energy,82.69,939.3615385,11.36003796,0.195937873,0.081841216,0.065957447,0.069787234,-11.20432011,1.401985112,168.7540784,0.347670251,1.180904523,0.08241206
ANTM.jk,2.06E+13,1.85E+12,4.69E+12,2.01E+12,3.77E+11,-5.28E+11,18970000,1.64E+12,1.64E+12,1.64E+12,1.85E+12,2.98E+11,2.5E+12,2.34E+13,1.67E+11,2.53E+13,8.68E+11,3.93E+12,4.3E+12,2.4E+12,1.41E+11,1.75382E+11,1.02E+11,50860511000,1.85E+12,7.35E+12,1.15E+12,18970000,9.95E+11,1.83E+13,2.66E+12,1.78E+11,8.98E+11,8.37E+11,3.96E+12,2.09E+13,8.15E+12,1.12E+12,1.4E+11,3.22E+13,7.34E+12,5.56E+12,1.37E+13,1.84E+13,3.96E+12,TRUE,596.9009399,732.2533569,0.226758592,1,basic_materials,181.77,814.1538462,4.479033098,0.089130435,0.069444444,0.185375494,0.064822134,-3.503787879,1.320143885,0.977517986,0.460326087,0.785714286,0.050931677
APIC.jk,1.6E+11,0,2.64E+11,78692070821,8292348150,-3.87614E+11,64851872641,67513818889,67513818889,70399722671,67197754979,5026733161,1.88E+11,3.57E+11,11494315842,4.24E+11,5.31E+11,43468025404,1.43E+11,1.22E+12,9399249956,1.4E+11,1.4E+11,652263824,1.4E+11,1.4E+11,63751080000,64851872641,1.36E+12,1.66E+12,1.3E+11,11641584526,11850822202,1.64E+11,4401604237,1.82E+11,3.98E+11,1.74E+11,1.4E+11,2.9E+12,2.52E+12,1E+12,1.17E+12,1.66E+12,4401604237,TRUE,466,540,0.158798283,1,financials,5.74,504.4807692,87.88863575,0.040670975,0,0.622641509,0.159230705,-403.5260867,2.52,1.643,0.189156627,0.146206897,0.023280627
APLN.jk,2.64E+12,1.14E+12,2.4E+12,3.89E+11,1.83E+11,-7.2E+11,3.34E+12,41607143000,41607143000,2.06E+11,1.14E+12,59956154000,1.2E+12,3.89E+12,-7.52E+11,5.04E+12,1.03E+12,1.03E+12,8.46E+11,1.94E+12,1.03E+11,30495281000,30334910000,1.4E+11,3.69E+12,7.32E+12,5.87E+11,3.34E+12,1.68E+12,8.75E+12,1.63E+13,1.77E+12,3.51E+12,2.25E+12,81888989000,4.43E+12,5.74E+12,3.03E+12,1.4E+11,2.96E+13,8.28E+12,7.89E+12,1.75E+13,8.78E+12,81888989000,FALSE,210,152,-0.276190476,-1,properties_realestate,1.53,183.4653846,119.9120161,0.004738855,0.052510364,0.476190476,0.008255386,-1.583333333,1.049429658,0.337896071,1.17881549,0.17027027,0.001405647
ASII.jk,1.95E+14,2.82E+13,4.47E+13,3.5E+13,7.62E+12,-3.11E+12,3.74E+13,2.17E+13,2.17E+13,2.74E+13,2.82E+13,2.85665E+11,1.65E+13,2.11E+14,6.83E+12,2.39E+14,4.19E+13,1.14E+12,2.52E+13,2.02E+12,4.21E+12,1.4E+11,4.41E+12,8.8E+12,2.65E+13,4E+13,3.82E+13,3.74E+13,3.56E+13,1.24E+14,3.65E+13,3.32E+12,1.75E+13,1.35E+13,6.05E+12,8.07E+13,1.28E+14,2.58E+13,5.91E+11,3.45E+14,1.31E+14,1.16E+14,1.7E+14,1.37E+14,6.05E+12,TRUE,7089.832031,7214.78418,0.017624134,0,industrials,535,7534.807692,14.0837527,0.158394161,0.123144105,0.187029289,0.090794979,-9.067524116,1.129310345,0.529232759,0.480291971,0.692753623,0.062898551
ASSA.jk,1.2E+12,3.56E+11,6.61E+11,1.83E+11,41089431409,-1.75E+11,52161763330,1.44E+11,1.44E+11,1.42E+11,3.56E+11,51623957992,2.53E+11,1.51E+12,-1.73E+11,1.86E+12,41776117456,3.75E+11,2.28E+11,3.4E+11,2305386434,1.4E+11,4.16331E+11,8766960657,41555654253,1.6E+12,4.71266E+12,52161763330,2.39E+11,1.08E+12,3.04E+12,7670287023,1.51E+11,1.7E+11,1.4E+11,4.79E+11,3.72E+11,7.27E+11,1.4E+11,4.06E+12,5.37E+11,1.15E+12,2.92E+12,1.09E+12,1.4E+11,TRUE,194.2864532,364,0.873522286,1,transportation_logistic,38.98,262.9538462,6.745865731,0.132110092,0.12233677,0.355376344,0.077419355,-2.034285714,0.466956522,0.527826087,2.134862385,0.458128079,0.03546798
BBCA.jk,1.29E+12,0,5.91E+13,3.27E+13,6.85E+12,-3.87614E+11,93743000000,2.59E+13,2.59E+13,2.59E+13,3.28E+13,2.51E+12,2.38E+13,2.76E+13,-90038000000,6.04E+13,6.37E+14,5.55E+12,5.98E+13,1.54E+12,3.15E+12,1.4E+11,1.68E+11,5.12E+11,5.37E+11,7.31E+11,1.09E+14,93743000000,2.26E+11,1.51E+14,5.58E+14,5.97E+13,1.33E+13,1.93E+13,9E+12,1.93E+13,1.36E+14,1.93E+12,1.13E+13,8.25E+14,1.38E+14,6.53E+14,6.73E+14,1.52E+14,9E+12,TRUE,3965.378174,4759.14209,0.200173573,1,financials,209.8,4690.942308,22.35911491,0.170394737,0,0.978476821,0.428807947,-403.5260867,0.211332312,0.109228178,0.017506579,0.073212121,0.031393939
