Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,researchDevelopment,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,class,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
AALI.JK,1.53E+13,9.99E+11,2.14E+12,6.61E+11,4.17E+11,3.38E+11,4.57E+11,2.11E+11,2.11E+11,2.44E+11,9.6E+11,77281000000,11713000000,7.07E+11,1.18E+12,-2.99E+11,1.75E+13,8.27E+11,3.88E+12,3.83E+11,9.62E+11,8.25E+11,1.4E+11,55951000000,3.38E+11,2.16E+12,5.54E+12,1.67E+11,-32512000000,7.58E+11,1.85E+13,4.25E+12,1.87E+11,1.61E+11,7.94E+11,-1.64E+11,1.8E+13,1.37E+13,1.44226E+12,1.4E+11,2.7E+13,4.47E+12,1.57E+12,8E+12,1.85E+13,-1.64E+11,TRUE,10759.92871,13532.89551,0.257712376,1,consumer_noncylicals,109.69,11572.57752,105.5025756,0.011405405,0.03928431,0.122285714,0.012057143,2.955621302,2.847133758,0.815923567,3.457979056,0.648148148,0.007814815
ACES.JK,4.26E+12,1.28E+12,3.89E+12,1.28E+12,2.43E+11,1852371267,16061394515,1.03E+12,1.03E+12,1.04E+12,1.38E+12,2.27E+11,55910386875,5.49E+11,2.73E+12,-1.13E+11,8.14E+12,1.78E+11,4.04E+11,1.26E+12,1.72E+11,1.5E+11,1.4E+11,6.52784E+11,1852371267,2.65E+12,5.84044E+12,1.4E+11,-6504651718,88918882414,4.72E+12,6.12E+11,2.65065E+12,1.5538E+12,6.1E+11,239797199,5.02E+11,3.69E+12,1.4E+11,7219911717,5.92E+12,4.58E+12,5.68E+11,1.18E+12,4.73E+12,-19226545201,TRUE,1381.124878,1409.388794,0.020464417,0,consumer_cylicals,60.33,1727.548638,28.63498488,0.217758985,0.23916293,0.477886978,0.126535627,691.0061837,8.063380282,2.3875683,3.457979056,1.375,0.173986486
ADRO.JK,2492563000,725439000,964591000,659103000,224101000,66336000,253323000,404190000,404190000,435002000,700143000,13436000,55910386875,137815000,239892000,-41040000,3457154000,360739000,1154494000,1576191000,342940000,33212000,1.4E+11,776943000,66336000,121030000,1294662000,730577000,-30812000,345994000,2953129000,343015000,346000,17907000,595432000,626000,3256646000,2288597000,507986000,1.0412E+12,7217105000,2109924000,1232601000,3233710000,3730072000,-55959000,TRUE,841.6401367,1126.589844,0.338564779,1,energy,0.01176,1318.657588,112130.7473,0.108359839,0.12121957,0.279013026,0.116914086,10.9358267,1.711765608,153.5042601,0.483274317,0.479022267,0.056004451
AKRA.JK,1.98E+13,9.75E+11,1.89E+12,8.65E+11,1.66E+11,1.1E+11,1.73E+12,7.17E+11,7.17E+11,6.99E+11,9.65E+11,45612860000,55910386875,3.08E+11,8.07E+11,-51229864000,2.17E+13,5.84E+12,1.29E+12,1.86E+12,4.01E+11,2.44E+11,1.4E+11,6.52784E+11,1.1E+11,4.09E+12,2.47E+12,5.72E+11,14127858000,4.52E+12,7.49E+12,4.73E+12,4751796000,1.5538E+12,1.6E+11,69002338000,4.71E+12,6.4E+12,4.59E+11,1.0412E+12,2.14E+13,1.08E+13,8.71E+12,1.13E+13,8.34E+12,2.46E+11,TRUE,731.6518555,704.0995483,-0.037657674,0,energy,36.056,863.2906977,23.94305241,0.085971223,0.076832151,0.087096774,0.033041475,8.863636364,1.239954076,153.5042601,0.351199041,1.014018692,0.033504673
ANTM.JK,2.73E+13,9.2E+11,5.47E+12,6.87E+11,4.93E+11,2.33E+11,19854000.41,1.94E+11,1.94E+11,1.94E+11,1.24E+12,38823944000,55910386875,2.59E+12,4.51E+12,-5.49E+11,3.27E+13,7.4E+11,1.86342E+12,3.64E+12,6.34E+12,9E+11,1.97065E+11,68336044000,2.33E+11,1.8E+12,5.56E+12,7.45E+11,-884000.3921,1.43E+12,1.8E+13,1.4E+12,66110669000,4.42E+11,1.2E+12,4.11629E+11,2.03E+13,7.91E+12,1.59E+12,1.4E+11,3.02E+13,7.67E+12,5.29E+12,1.21E+13,1.81E+13,3.88E+12,TRUE,732.2533569,817.2218628,0.116037032,0,basic_materials,8.16396,901.1284047,110.3788363,0.010718232,0.036932959,0.167278287,0.005932722,3.948497854,1.449905482,0.984877127,0.395027624,1.082781457,0.006423841
APIC.JK,9.31E+11,1.82E+11,2.25E+11,1.13E+11,10330959021,68591148131,68193305198,99638316684,99638316684,1.03E+11,1.04E+11,6310943420,55910386875,48720711872,43386280570,9378691113,1.16E+12,3.87E+11,43471495814,2.59E+11,1.22E+12,10475168861,1.4E+11,6.52784E+11,68591148131,2.95438E+12,5.84044E+12,3.26E+11,-3258956717,1.2E+12,1.77E+12,1.31E+11,7732294506,1.5538E+12,8.51E+11,4.11629E+11,1.79E+11,4.98E+11,2.67E+11,1.4E+11,3.65E+12,1.79E+12,9.43E+11,1.82E+12,1.77E+12,6709063102,TRUE,540,690,0.277777778,1,financials,8.468,606.5564202,71.62924188,0.056292834,0.067233099,0.193965517,0.085895101,2.653403609,1.898197243,1.695652174,3.457979056,0.317808219,0.027298169
APLN.JK,1.83E+12,8.92E+11,1.96E+12,1.31E+11,10409652000,7.6E+11,3.39E+12,-8657699000,-8657699000,1.21E+11,7.7E+11,59431086000,55910386875,5.13E+11,1.19E+12,-4.86E+11,3.79E+12,7.36E+11,1.03E+12,8.5E+11,1.94E+12,56545178000,24696307000,30334910000,7.6E+11,3.68E+12,8.83E+12,8.51E+11,-1.29E+11,1.61E+12,9.42E+12,1.68E+13,1.76E+12,1049844000,2.88E+12,8.51E+11,3.66E+12,5.62E+12,5.92E+11,1.4E+11,2.95E+13,8.17E+12,4.91E+12,1.66E+13,9.45E+12,7.55E+11,TRUE,152,177,0.164473684,0,properties_realestate,-0.45,194.3501946,-431.8893213,-0.000916159,0.036274908,0.517150396,-0.002284353,1.173684211,1.66395112,0.529531568,0.997037037,0.128474576,-0.000293481
ASII.JK,1.87E+14,3.84E+13,5.02E+13,3.41E+13,7.43E+12,4.38E+12,3.89E+13,2.17E+13,2.17E+13,2.66E+13,2.81E+13,2.60449E+11,55910386875,2.41E+13,2.4E+13,5.98E+12,2.37E+14,3.01E+13,1.14E+12,2.43E+13,2.02E+12,4.81E+12,1.4E+11,4.34E+12,4.38E+12,2.43E+13,5.01E+13,4.44E+13,-4.91E+12,3.45E+13,1.34E+14,3.45E+13,2.62E+12,8.31E+12,1.47E+13,4.11629E+11,7.62E+13,1.4E+14,2.62E+13,1.0412E+12,3.52E+14,1.29E+14,1E+14,1.65E+14,1.48E+14,4.2E+12,FALSE,7214.783691,6258.746094,-0.132510916,-1,industrials,536,7177.723735,13.39127562,0.146621622,0.152380952,0.211814346,0.091561181,8.767123288,1.29,153.5042601,0.515540541,0.673295455,0.061647727
ASSA.JK,1.59E+12,3.61E+11,7.4E+11,1.17E+11,25762219193,2.44E+11,1.46E+11,1.1E+11,1.1E+11,91614940880,3.49E+11,11495138717,55910386875,1.36E+11,3.93E+11,-2.29E+11,2.33E+12,63601065288,3.75E+11,2.55E+11,3.4E+11,29550650813,1.4E+11,32649457327,2.44E+11,24554089990,2.06E+12,30112143317,18787513166,3.21E+11,1.06E+12,3.49E+12,4843698711,2.22E+11,2.07E+11,4.11629E+11,3.92E+12,4.7E+11,7.06E+11,1.4E+11,4.85E+12,6.53E+11,1.24E+12,3.51E+12,1.19E+12,1.4E+11,TRUE,364,740,1.032967033,1,transportation_logistic,29.991842,767.4708171,25.58931916,0.092436975,0.1,0.317596567,0.0472103,1.479508197,0.526612903,0.577419355,2.324369748,0.480412371,0.022680412
BBCA.JK,1.52E+12,0,6.55E+13,3.63E+13,7.72E+12,1.2E+13,1E+11,2.86E+13,2.86E+13,2.86E+13,3.63E+13,3.48E+12,55910386875,1.05E+13,3.21E+13,-11563000000,7.3E+13,3.28E+12,5.55E+12,1.15E+14,1.54E+12,3.18E+12,1.53E+11,8.56E+11,5.22E+11,1.04E+12,1.34E+12,1.43E+14,-4921000000,2.97E+11,1.73E+14,6.07E+14,6.27E+13,1.08E+13,2.23E+13,1385000000,2.09E+13,1.53E+14,1.97E+12,1.13E+13,9.19E+14,1.47E+14,7.21E+14,7.45E+14,1.74E+14,1.18E+13,TRUE,4759.142578,6193.711914,0.30143441,1,financials,231.8,5866.29845,25.30758607,0.164367816,0,0.897260274,0.391780822,0,0.203883495,0.175585298,0.019022989,0.079434168,0.031120783
BBNI.JK,6.41E+11,0,4.02E+13,1.94E+13,3.86E+12,2.09E+13,2.49E+12,1.54E+13,1.54E+13,1.55E+13,1.83E+13,2.91E+12,55910386875,6.86E+12,2.81E+13,1.12E+12,5.41E+13,8.05E+11,1.46E+13,1.15E+14,9.05E+12,1.35E+12,3.34E+11,1.4E+11,1.4E+11,1.16E+12,4.38E+13,1.05E+14,-1.24E+11,3.79E+12,1.23E+14,5.65E+14,5.93E+13,2.74E+13,1.66E+13,2.26E+12,2.65E+13,7.97E+13,6.84E+11,3.44E+13,8.46E+14,1.49E+14,6.6E+14,7.21E+14,1.23E+14,1.64E+13,FALSE,7792.097656,7117.495605,-0.086575154,-1,financials,825,8404.474708,10.18724207,0.125203252,0,0.743068392,0.284658041,0,0.225757576,0.232106061,0.361658537,0.063947991,0.01820331
BBRI.JK,1.31E+12,0,8.06E+13,4.34E+13,8.95E+12,3.87E+13,2.46E+12,3.44E+13,3.44E+13,3.44E+13,3.67E+13,5.39E+12,55910386875,1.14E+13,4.93E+13,6.65E+12,1.08E+14,2.08E+12,2.9E+12,2.28E+14,6.17E+12,0,0,0,0,0,0,0,-41216000000,0,2.06E+14,0,0,0,0,22409000000,3.14E+13,1.78E+14,0,0,1.42E+15,0,0,1.21E+15,2.06E+14,0,TRUE,3033.385742,3764.171143,0.240914101,1,financials,280.96,4121.55642,14.66954876,0.166990291,0,0.746296296,0.318518519,0,2.362181444,153.5042601,0,0.076056338,0.024225352
BBTN.JK,1.04E+12,0,6.55E+12,4.11E+11,2.02E+11,1.53E+13,1.74673E+12,2.09E+11,2.09E+11,2.09E+11,9.9E+11,1.92E+11,55910386875,2.52E+12,6.95E+12,-5.79E+11,1.09E+13,6.38E+11,2.05E+12,2.87E+13,5.3E+12,6.29E+11,2.89E+11,1.4E+11,1.4E+11,77591000000,3.17E+13,1.5E+13,-2.13705E+11,9.2E+11,2.38E+13,2.51E+14,1.96E+13,2.42E+12,2.39E+13,4.11629E+11,5.4E+12,3.66E+11,1.43E+13,2.23E+12,3.12E+14,4.06E+13,2.32E+14,2.88E+14,2.38E+13,3.12E+12,FALSE,2373.257813,2019.505005,-0.149057892,-1,financials,17.768063,2328.249027,131.035613,0.008781513,0,0.600917431,0.019174312,0,0.175,0.137284483,1.932773109,0.034935897,0.000669872
BDMN.JK,0,0,1.6E+13,5.49E+12,1.62E+12,7.15E+12,4.8E+11,4.07E+12,4.07E+12,3.87E+12,5.58E+12,1.64E+12,55910386875,2.94E+12,1.03E+13,-96111000000,1.82E+13,6.52E+11,7.99E+12,1.75E+13,6E+12,2.8E+12,68560000000,1.07E+12,5.34E+11,8.76E+11,9.79E+12,2.33E+13,-1.67E+11,1.83E+11,4.33E+13,1.4E+14,7.95E+12,1.69E+12,4.59E+12,1.21E+11,1.79E+12,3.04E+13,1.4E+13,7.22E+12,1.94E+14,2.65E+13,1.34E+14,1.48E+14,4.49E+13,1.21E+11,FALSE,5978.624512,3155.387939,-0.472221757,-1,financials,416.78,6006.439689,14.41153532,0.09064588,0,0.879120879,0.223626374,0,0.197761194,0.185843284,0.529844098,0.093814433,0.020979381
BEST.JK,3.17E+11,5.5E+11,6.33E+11,3.87E+11,6873125000,1.63E+11,430623265,3.8E+11,3.8E+11,3.8E+11,5.07E+11,14764563803,55910386875,28273170632,1.26E+11,-98261962815,9.51E+11,41967337362,2.31E+11,6.79E+11,9.65E+11,1.4E+11,1.4E+11,1.4E+11,1.63E+11,1.14E+12,1.65E+12,1.07E+11,24566644,5.45E+11,4.47E+12,3.51E+12,2.27E+11,6563044647,51956447980,4.11629E+11,1.85E+11,3.08E+12,1.11E+11,1.4E+11,6.4E+12,2.6E+12,2.28E+11,1.93E+12,4.47E+12,8.2422E+11,TRUE,200.9457397,216,0.074917041,0,properties_realestate,39.41,264.0350195,6.699696004,0.085011186,0.089112119,0.665615142,0.39957939,3.374233129,11.40350877,5.98245614,0.393959732,0.14859375,0.059375
BFIN.JK,2.17E+12,1.7E+12,2.89E+12,1.09E+12,3.81E+11,3.8E+11,7000000,7.12E+11,7.12E+11,7.12E+11,1.85E+12,4.96E+11,55910386875,5.15E+11,1.19E+12,-7.63E+11,5.05E+12,96524000000,5.53E+11,6.6E+11,3.99E+11,1.1E+11,1.4E+11,1.4E+11,3.8E+11,2.95438E+12,1.15E+13,1.4E+11,3000000,1.75E+13,6.05E+12,2.34E+11,1569000000,73871000000,8.04E+11,4.11629E+11,6.63E+11,5.42E+12,1.44226E+12,1.4E+11,1.91E+13,1.83E+13,8.18E+11,1.3E+13,6.08E+12,-3.94E+11,FALSE,536.9671021,489.6734619,-0.088075489,-1,financials,48,612.2762646,12.75575551,0.117105263,0.092987638,0.572277228,0.140990099,4.473684211,22.37163814,22.37163814,3.457979056,0.264397906,0.037277487
