Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,researchDevelopment,sellingGeneralAdministrative,totalOperatingExpenses,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherCurrentAssets,otherCurrentLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,class,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
AALI.JK,1.95E+13,3.29E+12,4.83E+12,2.91E+12,8.46E+11,3.74E+11,5.52E+11,1.97E+12,1.97E+12,2.07E+12,3.44E+12,3.22E+11,14448000000,6.64E+11,1.39E+12,2.43E+13,1.03E+12,3.88E+12,3.9E+12,9.62E+11,6.26E+11,5.49411E+11,55951000000,3.59694E+12,3.31E+12,2.13E+12,3.31E+11,5.52E+11,5.84E+11,2.06E+13,3.77807E+11,2.16E+11,-2.25E+11,1.78E+13,1.58E+13,3.56E+12,6.17541E+11,3.04E+13,9.41E+12,5.96E+12,9.23E+12,2.06E+13,3.08079E+11,FALSE,11579.95507,9144.859375,-0.210285418,0,consumer_noncylicals,1024.25,9741.295547,9.510661994,0.095631068,0.134615385,0.198765432,0.081069959,8.796791444,1.57885906,1.623366447,0.276213592,0.799342105,0.064802632
ACES.JK,3.33E+12,9.33E+11,3.21E+12,8.59E+11,1.4E+11,74294485195,31233899639,7.04E+11,7.04E+11,7.19E+11,7.87E+11,2.09E+11,58576637243,4.85E+11,2.43E+12,6.54E+12,1.27E+11,4.41E+11,2.54E+12,1.72E+11,1.26E+11,5.49411E+11,3.42089E+12,3896785631,2.37E+12,6.36953E+12,0,31233899639,66777644333,5.48E+12,3.77807E+11,1.13808E+12,239797199,1.32E+12,4.42E+12,3.03652E+12,12866087674,7.19E+12,5.19E+12,7.23E+11,1.68E+12,5.48E+12,34184872500,FALSE,1634.889166,1248.993896,-0.236037572,-1,consumer_cylicals,41.18,1453.481781,35.2958179,0.128467153,0.144270914,0.490825688,0.10764526,12.55813265,7.178423237,3.623297001,0.791407598,0.909596662,0.097913769
ADRO.JK,2222972000,1569585000,1769746000,1486251000,457658000,83334000,321535000,933492000,933492000,1028593000,1576675000,16481000,58576637243,94558000,193071000,3992718000,298571000,1154494000,1811141000,342940000,92933000,5.49411E+11,776943000,4849000,125738000,1294326000,831991000,321535000,611547000,3354988000,25467000,8809000,7852000,2614589000,2783495000,218971000,220700000,7586936000,2838132000,1361558000,3128621000,4136780000,97070000,TRUE,1126.141916,2010.511108,0.785308831,1,energy,0.02927,1420.1417,48518.67783,0.22565667,0.252126859,0.443243425,0.23379863,18.83486932,2.084473816,1.941443552,0.365815199,0.526262249,0.123039393
AKRA.JK,2.34E+13,1.45E+12,2.29E+12,1.4E+12,2.6E+11,57068728000,1.95E+12,1.11E+12,1.11E+12,1.14E+12,1.45E+12,1.48E+11,58576637243,2.1E+11,8.46E+11,2.57E+13,7.77E+12,1.29E+12,2.57E+12,4.01E+11,2.52E+11,5.49411E+11,3.42089E+12,6.3288E+11,4.51E+12,2.2E+12,4.02E+11,1.95E+12,4.62E+12,8.71E+12,7831296000,1.13808E+12,69001583000,4.91E+12,7.52E+12,5.73E+11,6.17541E+11,2.35E+13,1.2E+13,9.31E+12,1.22E+13,9.35E+12,1.18E+11,TRUE,592.8301797,792.5742798,0.336933083,1,energy,56.32,723.0445344,12.83814869,0.118716578,0.102184637,0.089105058,0.043190661,25.40796073,1.288936627,1.623366447,0.29657754,1.093617021,0.047234043
ANTM.JK,3.21E+13,3.33E+12,6.36E+12,3.04E+12,1.18E+12,2.88E+11,18000000,1.86E+12,1.86E+12,1.86E+12,2.89E+12,4.31E+11,58576637243,1.64E+12,3.47E+12,3.84E+13,1.4E+12,3.93E+12,5.04E+12,2.4E+12,1.11E+11,5.49411E+11,68336000000,42121000000,3.11E+12,3.7E+12,1.77E+12,18000000,1.95E+12,2.07E+13,2.69E+11,1.23E+11,6.39462E+11,1.81E+13,9.79E+12,2.57E+12,9.64E+11,3.29E+13,1.17E+13,6.56E+12,1.21E+13,2.08E+13,3.08079E+11,TRUE,1925.481168,2215.136963,0.150432941,1,basic_materials,77.47,2436.194332,31.44693858,0.089423077,0.12642369,0.165625,0.0484375,11.5625,1.783536585,1.2125,0.301442308,1.167173252,0.056534954
APIC.JK,1.97E+12,2.8E+11,1.59E+11,1.13E+11,9632191656,1.67E+11,80468372713,98822851840,98822851840,1.03E+11,1.67E+11,7000590993,58576637243,28986267448,-8352677904,2.13E+12,5E+11,43471495814,7.5E+11,1.22E+12,9178059128,5.49411E+11,3.42089E+12,276139349,3.63374E+12,4E+11,2.19354E+12,80468372713,1.22E+12,2.03E+12,3.77807E+11,1.13808E+12,6.39462E+11,32199891378,6.98E+11,7.2E+11,587000000,5.94E+12,2.12E+12,1.25E+12,3.82E+12,2.03E+12,3.08079E+11,TRUE,785,1115,0.420382166,1,financials,8.4,851.2145749,101.3350684,0.048681208,0.059701493,0.074647887,0.046395705,1.676646707,1.696,1.5764696,0.551724138,0.358585859,0.016636844
APLN.JK,2.83E+12,2.86E+11,1.43E+12,-4.58E+11,27600998000,7.44E+11,2.73E+12,-6.5E+11,-6.5E+11,-4.85E+11,5.54E+11,64937158000,58576637243,3.99E+11,8.75E+11,4.26E+12,9.62E+11,1.5E+12,1.06E+12,2.27E+12,68465939000,24135263000,30334910000,3.59694E+12,7.77E+12,7.71E+12,1.42E+11,2.73E+12,9.51E+11,7.78E+12,3.77807E+11,1.13808E+12,-5255739000,3.9E+12,4.11E+12,2.39E+12,6.17541E+11,2.96E+13,1.2E+13,7.31E+12,1.91E+13,7.81E+12,3.08079E+11,FALSE,188,122,-0.35106383,-1,properties_realestate,-28.65,148.2753036,-5.175403267,-0.083226633,0.012830866,0.335680751,-0.15258216,0.384408602,1.641586867,1.623366447,1.293213828,0.143918919,-0.021959459
ASII.JK,1.82E+14,3.46E+13,5.1E+13,3.24E+13,6.76E+12,2.29E+12,4.36E+13,2.02E+13,2.02E+13,2.56E+13,2.56E+13,4.2154E+11,58576637243,2.55E+13,2.54E+13,2.33E+14,2.51E+13,1.14E+12,6.39E+13,2.02E+12,5.23E+12,5.49411E+11,4.77E+12,1.0283E+13,2.18E+13,3.32E+13,3.78E+13,4.36E+13,5.81E+13,1.57E+14,6.97E+12,1.61E+13,6.39462E+11,6.73E+13,1.63E+14,3.8E+13,6.51E+11,3.67E+14,1.6E+14,1.04E+14,1.52E+14,1.72E+14,3.08079E+11,FALSE,5725.303213,5479.114746,-0.043000075,0,industrials,499,5550.323887,11.12289356,0.11744186,0.131558935,0.21888412,0.086695279,15.10917031,1.538461538,1.179336538,0.413953488,0.634877384,0.055040872
ASSA.JK,4.03E+12,4.57E+11,1.06E+12,2.23E+11,63546552949,2.34E+11,2.45E+11,1.43E+11,1.43E+11,1.6E+11,4.65E+11,10274065657,58576637243,2.33E+11,5.91E+11,5.09E+12,1.03E+11,5.53E+11,4.47E+11,3.56E+11,49538132667,5.49411E+11,32649457327,1.14882E+11,31506364775,2.77E+12,42397641373,2.45E+11,5.41E+11,1.37E+12,3.77807E+11,1.13808E+12,-1.13E+11,4.64E+12,7.15E+11,6.98E+11,6.17541E+11,6.03E+12,1.06E+12,1.18E+12,4.27E+12,1.52E+12,3.08079E+11,TRUE,635,3320,4.228346457,1,transportation_logistic,41.21,2390.156125,57.99942065,0.094078947,0.094226804,0.208251473,0.028094303,1.952991453,0.898305085,1.623366447,2.281578947,0.844112769,0.02371476
BBCA.JK,1.30155E+13,3.0196E+12,5.60084E+12,3.88E+13,7.4E+12,7.54E+12,1.36E+11,3.14E+13,3.14E+13,3.14E+13,2.77259E+12,3.54E+12,58576637243,9.76E+12,3.21E+13,8.01E+13,4.71E+12,5.55E+12,1.88E+14,1.54E+12,2.79102E+11,5.49411E+11,1.16E+12,4.24091E+11,3.63374E+12,6.36953E+12,2.19354E+12,1.36E+11,0,2.01E+14,3.77807E+11,1.13808E+12,1385000000,2.22E+13,1.77E+14,3.03652E+12,6.17541E+11,1.23E+15,1.19403E+13,8.04987E+12,1.03E+15,2.03E+14,3.08079E+11,TRUE,6428.589407,7021.503906,0.092230886,1,financials,255,6728.643725,26.38683814,0.154679803,0.177758381,0.318828081,0.392009988,89.83938243,2.505249649,1.623366447,0.791407598,0.065121951,0.025528455
BBNI.JK,1.30155E+13,3.0196E+12,5.60084E+12,1.26E+13,1.57E+12,1.17E+13,2.78E+12,1.09E+13,1.09E+13,1.1E+13,2.77259E+12,2.73E+12,58576637243,6.76E+12,2.93E+13,5.71E+13,5.39E+11,1.7E+13,1.74E+14,9.05E+12,2.79102E+11,5.49411E+11,3.42089E+12,3.59694E+12,3.63374E+12,6.36953E+12,9.52E+12,2.78E+12,0,1.24E+14,3.77807E+11,1.13808E+12,2.26E+12,2.69E+13,7.55E+13,3.03652E+12,6.17541E+11,9.65E+14,1.19403E+13,8.04987E+12,8.38E+14,1.24E+14,2.07E+11,TRUE,5838.195083,6353.684082,0.088295953,1,financials,585,5895.97166,10.07858403,0.087903226,0.177758381,0.318828081,0.19089317,89.83938243,2.505249649,1.623366447,0.791407598,0.059170984,0.011295337
BBRI.JK,1.30155E+13,3.0196E+12,5.60084E+12,4.1E+13,7.84E+12,2.81E+13,3.05E+12,3.11E+13,3.11E+13,3.08E+13,2.77259E+12,1.5E+13,58576637243,1.81E+13,8.19E+13,1.54E+14,1.18E+12,7.62E+13,1.56E+14,7.58E+12,2.79102E+11,5.49411E+11,3.42089E+12,3.59694E+12,3.63374E+12,6.36953E+12,6.07E+12,3.05E+12,1.39E+11,2.89E+14,3.77807E+11,1.13808E+12,1.78E+12,4.8E+13,1.82E+14,3.03652E+12,6.17541E+11,1.68E+15,1.19403E+13,8.04987E+12,1.39E+15,2.89E+14,45997000000,FALSE,3675.756264,3719.963623,0.012026738,1,financials,238,4172.191122,17.5302148,0.107612457,0.177758381,0.318828081,0.201948052,89.83938243,2.505249649,1.623366447,0.791407598,0.091666667,0.018511905
