Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,researchDevelopment,sellingGeneralAdministrative,totalOperatingExpenses,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherCurrentAssets,otherCurrentLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
AALI.JK,1.8E+13,2.78E+12,3.82E+12,2.43E+12,6.37E+11,3.48E+11,5.59E+11,1.72E+12,1.73E+12,1.79E+12,2.37E+12,1.65E+11,14832000000,8.58E+11,1.45E+12,2.18E+13,1.22E+12,3.88E+12,1.62E+12,9.62E+11,5.51E+11,4.44527E+11,55951000000,3.23749E+12,3.4E+12,4.05E+12,5.47E+11,5.59E+11,8.98E+11,2.16E+13,1.47951E+11,2.14E+11,-77590000000,1.8E+13,1.67E+13,5000000000,5.92581E+11,2.92E+13,7.39E+12,2.05E+12,7.01E+12,2.17E+13,3.22181E+11,8789.101613,7712.807617,-0.122457794,0,consumer_noncylicals,897.08,9937.5,11.07760735,0.079262673,0.102394107,0.175229358,0.078899083,7.988505747,3.604878049,1375.469496,0.186866359,0.746575342,0.05890411
ACES.JK,3.49E+12,8.79E+11,3.27E+12,8.21E+11,1.47E+11,58644337408,44136268897,6.64E+11,6.64E+11,6.74E+11,7.46E+11,2.66E+11,42135602046,5.63E+11,2.52E+12,6.76E+12,1.14E+11,4.41E+11,2.11E+12,1.72E+11,83807263724,4.44527E+11,6.32205E+11,4342918292,2.65E+12,5.004E+12,59099000000,44136268897,1.19E+11,5.88E+12,-38207113267,2.4E+11,239797199,1.26E+12,4.82E+12,2.26504E+12,6936255841,7.1E+12,5.12E+12,6.12E+11,1.21E+12,5.88E+12,34184872500,1253.872768,496,-0.604425574,-1,consumer_cylicals,139.2172174,836.8943089,-21322.37611,0.11292517,0.135480888,0.483727811,0.098224852,14.98865941,8.366013072,3.653490614,0.798753574,0.952112676,0.093521127
ADRO.JK,3449427000,4565533000,4652972000,4476219000,1645096000,89314000,502738000,2493080000,2493080000,2831123000,4276998000,78755000,42135602046,209592000,375974000,8102399000,374788000,1154494000,4067358000,342940000,81263000,4.44527E+11,776943000,5279000,199200000,1372050000,1277509000,502738000,866350000,5242378000,17366000,9121000,153614000,2485251000,4412865000,142945000,104923000,10782307000,5319309000,2447512000,4254969000,6024600000,139936000,1939.026414,3598.719971,0.855941696,1,energy,0.08032,3230.609756,40221.73501,0.413816685,0.547767882,0.574270904,0.307696523,51.11777549,2.173353593,2.058674687,0.251468147,0.751453191,0.231219534
AKRA.JK,4.33E+13,3.08E+12,4.25E+12,3.02E+12,5.45E+11,57212531000,2.19E+12,2.4E+12,2.4E+12,2.48E+12,3.13E+12,1.67E+11,42135602046,3.65E+11,1.12E+12,4.75E+13,9.24E+12,1.29E+12,4.28E+12,4.01E+11,2.05E+11,4.44527E+11,6.32205E+11,6.42501E+11,5.22E+12,2.14E+12,4.17E+11,2.19E+12,6.03E+12,1.03E+13,7752328000,2.00298E+11,69001149000,4.94E+12,9.09E+12,5.56E+11,5.92581E+11,2.72E+13,1.58E+13,1.13E+13,1.4E+13,1.1E+13,1.18E+11,792.5743078,1400,0.76639589,1,energy,121.77,1115.166667,9.157975421,0.218181818,0.193710692,0.089473684,0.050526316,53.83436017,1.398230088,1375.469496,0.245090909,1.746323529,0.088235294
ANTM.JK,3.83E+13,4.35E+12,7.35E+12,4.16E+12,1.39E+12,1.88E+11,1.53174E+12,2.78E+12,2.78E+12,2.78E+12,3.21E+12,1.23E+12,42135602046,1.6E+12,4.14E+12,4.57E+13,1.74568E+12,3.06895E+12,1.45519E+13,1.94657E+12,2.0172E+11,4.44527E+11,6.32205E+11,3.23749E+12,3.76203E+12,5.004E+12,1.93645E+12,1.53174E+12,0,2.03863E+13,1.47951E+11,2.00298E+11,6.22499E+11,1.0134E+13,1.51991E+13,2.26504E+12,5.92581E+11,1.13637E+14,9.59431E+12,6.51116E+12,8.9552E+13,2.26819E+13,3.22181E+11,2224.982007,1985,-0.107857954,0,basic_materials,139.2172174,2101.585366,-21322.37611,0.16700253,0.158222016,0.16083151,0.06083151,23.13829787,2.382038512,1375.469496,0.798753574,0.657592183,0.064947536
APIC.JK,2.11E+12,3.42E+11,1.55E+11,1.63E+11,6529068249,1.79E+11,84603917043,1.52E+11,1.52E+11,1.57E+11,1.97E+11,8278099205,42135602046,26117752765,-41437190196,2.27E+12,8.85E+11,43471495814,7.11E+11,1.22E+12,10359313488,4.44527E+11,6.32205E+11,209712799,3.76203E+12,4E+11,1.93645E+12,84603917043,1.68E+12,2.18E+12,1.47951E+11,2.00298E+11,6.22499E+11,34417029021,8.51E+11,5.91E+11,587000000,6.86E+12,2.55E+12,1.52E+12,4.59E+12,2.18E+12,3.22181E+11,1115,1130,0.013452915,0,financials,12.96,1107.337398,85.44270046,0.069724771,0.064044944,0.068281938,0.066960352,1.910614525,1.677631579,1.5734125,0.454587156,0.33090379,0.022157434
APLN.JK,3.8E+12,3.03E+12,4.87E+12,2.32E+12,55781932000,7.05E+11,2.86E+12,2.17E+12,1.99E+12,2.27E+12,3.77E+12,87591455000,42135602046,5.29E+11,1.1E+12,8.66E+12,9.29E+11,1.5E+12,1.1E+12,2.27E+12,46061377000,45312604000,30334910000,3.23749E+12,7.18E+12,7.56E+12,1.38E+12,2.86E+12,8.61E+11,9.58E+12,1.47951E+11,2.00298E+11,-5255739000,3.71E+12,6.1E+12,9.05E+11,5.92581E+11,2.86E+13,1.13E+13,5.77E+12,1.61E+13,9.61E+12,3.22181E+11,123,154,0.25203252,1,properties_realestate,139.2172174,125.4308943,-21322.37611,0.225806452,0.132720105,0.562355658,0.250577367,4.29787234,1.958405546,1375.469496,0.880853278,0.302797203,0.075874126
ASII.JK,2.21E+14,5.02E+13,6.61E+13,4.81E+13,9.56E+12,2.1E+12,1.53174E+12,2.85E+13,2.85E+13,3.86E+13,3.81E+13,4.39838E+11,42135602046,2.8E+13,2.79E+13,2.87E+14,1.74568E+12,3.06895E+12,1.45519E+13,1.94657E+12,2.0172E+11,4.44527E+11,6.32205E+11,3.23749E+12,3.76203E+12,5.004E+12,1.93645E+12,1.53174E+12,0,2.03863E+13,1.47951E+11,2.00298E+11,6.22499E+11,1.0134E+13,1.51991E+13,2.26504E+12,5.92581E+11,1.13637E+14,9.59431E+12,6.51116E+12,8.9552E+13,2.26819E+13,3.22181E+11,5455.083586,5700,0.044896913,0,industrials,139.2172174,6405.691057,-21322.37611,0.16700253,0.158222016,0.230313589,0.099303136,23.9047619,2.382038512,1375.469496,0.798753574,0.657592183,0.064947536
ASSA.JK,5E+12,4.45E+11,1.24E+12,2.2E+11,60453401190,2.26E+11,1.53174E+12,1.94E+11,1.94E+11,1.59E+11,2.63E+11,24498361592,42135602046,3.42E+11,9.77E+11,6.24E+12,1.74568E+12,3.06895E+12,1.45519E+13,1.94657E+12,2.0172E+11,4.44527E+11,6.32205E+11,3.23749E+12,3.76203E+12,5.004E+12,1.93645E+12,1.53174E+12,0,2.03863E+13,1.47951E+11,2.00298E+11,6.22499E+11,1.0134E+13,1.51991E+13,2.26504E+12,5.92581E+11,1.13637E+14,9.59431E+12,6.51116E+12,8.9552E+13,2.26819E+13,3.22181E+11,3320,775,-0.766566265,-1,transportation_logistic,139.2172174,1856.382114,-21322.37611,0.16700253,0.158222016,0.198717949,0.031089744,1.969026549,2.382038512,1375.469496,0.798753574,0.657592183,0.064947536
BBCA.JK,1.50087E+13,3.33262E+12,6.19728E+12,5.05E+13,9.71E+12,6.01E+12,1.63E+11,4.07E+13,4.07E+13,4.08E+13,3.1648E+12,3.63E+12,42135602046,1.12E+13,3.45E+13,8.95E+13,3E+12,5.55E+12,1.62E+14,1.54E+12,2.0172E+11,4.44527E+11,1.16E+12,4.08919E+11,3.76203E+12,5.004E+12,1.93645E+12,1.63E+11,0,2.19E+14,1.47951E+11,2.00298E+11,1385000000,2.47E+13,1.98E+14,2.26504E+12,5.92581E+11,1.31E+15,9.59431E+12,6.51116E+12,1.09E+15,2.21E+14,3.22181E+11,7045.549805,8382.450195,0.189751038,1,financials,139.2172174,8003.150407,-21322.37611,0.184162896,0.158222016,0.321262889,0.454748603,81.90807551,2.382038512,1375.469496,0.798753574,0.068320611,0.031068702
